shape, chamfer_dist
ShapeNetV2/04256520/cc644fad0b76a441d84c7dc40ac6d743, 0.0007600325156383116
ShapeNetV2/04256520/cca6e720741a6d00f51f77a6d7299806, 0.0011504566369879552
ShapeNetV2/04256520/ccb08f869edde5e6d8adf1ca87495d41, 0.002630438734883917
ShapeNetV2/04256520/ccd0c5e06744ad9a5ca7e476d2d4a26e, 0.0014873168249006355
ShapeNetV2/04256520/cceaeed0d8cf5bdbca68d7e2f215cb19, 0.002084245615065603
ShapeNetV2/04256520/cd1086902b5eb749f51f77a6d7299806, 0.0034516369606674823
ShapeNetV2/04256520/cd10e95d1501ed6719fb4103277a6b93, 0.011192855854723047
ShapeNetV2/04256520/cd249bd432c4bc75b82cf928f6ed5338, 0.0035375794076676144
ShapeNetV2/04256520/cd2a6bf7effd529de96ac0c4e1fb9b1a, 0.0014348093748877495
ShapeNetV2/04256520/cd47287d6da7492e64810cc21086da42, 0.001431166513512564
ShapeNetV2/04256520/cd74a153b605c6a3cabc196a7f35f1aa, 0.00280131860340606
ShapeNetV2/04256520/cd9ef0c92376e604963cdf8b01c64c16, 0.004241311168110739
ShapeNetV2/04256520/cde1943d3681d3dc4194871f9a6dae1d, 0.0015568205157416852
ShapeNetV2/04256520/ce424dd12ccad62575206c207a147264, 0.0020542341027423973
ShapeNetV2/04256520/ce99ea72f222e7d58bf939d21e50c410, 0.0019032300857943069
ShapeNetV2/04256520/ceb04c53d8aae1319fb4103277a6b93, 0.0036348388993292955
ShapeNetV2/04256520/cef25c3f7412814b4b3c42e318f3affc, 0.0009946007918148507
ShapeNetV2/04256520/cf027d5b0debe18321bdbc0445d9f748, 0.0030446531219860107
ShapeNetV2/04256520/cf47942a67cae94eab49dceef0d15b99, 0.0013365590844185355
ShapeNetV2/04256520/cf571875efbd60fd3d2617f9171b5ccb, 0.0023681496026566606
ShapeNetV2/04256520/cf651c9562d9267032a526e2e9a7e9ae, 0.003643501881394755
ShapeNetV2/04256520/cf651d12e2048e1a4b3c42e318f3affc, 0.001113614460197621
ShapeNetV2/04256520/cf81e26374530f8fc08abcaf67cf0417, 0.011830335252219196
ShapeNetV2/04256520/cfa5feb7486f88ee1b8fe07f15de05f7, 0.0017078664714014573
ShapeNetV2/04256520/cff485b2c98410135dda488a4bbb1e1, 0.0012129930622008442
ShapeNetV2/04256520/d04a6f268f16bae7d472d3bb6a889c20, 0.001360437768224481
ShapeNetV2/04256520/d053e745b565fa391c1b3b2ed8d13bf8, 0.0024597877859099133
